DESCRIPTION,BRAND,CATEGORY,BARCODE,BATCH,"INBOUND DATE",WAREHOUSE,SUPPLIER,"SUPPLIER TYPE",STAFF
"CellPhone LCD Tecno Camon 17 Pro",TECNO,"Cellphone Lcd",46982184-7,LPO001,"2025-07-11 08:08:40","LPO Angeles Store",Imports,International,"Admin Tester"
"CellPhone LCD Samsung A7 2018",Samsung,"Cellphone Lcd",75494238-9,LPO001,"2025-07-11 08:08:40","LPO Angeles Store",Imports,International,"Admin Tester"
"Laptop Charger Samsung 3.16A Common Pin",Samsung,"Laptop Charger",28974881-190,LPO001,"2025-07-11 08:08:40","LPO Angeles Store",Liz,International,"Admin Tester"
"CellPhone LCD Samsung C7 2016",Samsung,"Cellphone Lcd",82243118-2,LPO001,"2025-07-11 08:08:40","LPO Angeles Store",Imports,International,"Admin Tester"
"CellPhone LCD Samsung C7 2016",Samsung,"Cellphone Lcd",82243118-1,LPO001,"2025-07-11 08:08:40","LPO Angeles Store",Imports,International,"Admin Tester"
"Cellphone LCD Samsung A9 2018",Samsung,"Cellphone Lcd",38979002-6,LPO001,"2025-07-11 08:08:40","LPO Angeles Store",Imports,International,"Admin Tester"
"Cellphone LCD Samsung A9 2018",Samsung,"Cellphone Lcd",38979002-6,LPO001,"2025-07-11 08:08:40","LPO Angeles Store",Imports,International,"Admin Tester"
"CellPhone LCD Tecno Camon 17 Pro",TECNO,"Cellphone Lcd",46982184-1,LPO001,"2025-07-11 08:08:40","LPO Angeles Store",Imports,International,"Admin Tester"
"Laptop Charger HP 4.74A Circle Pin",HP,"Laptop Charger",82071177-114,LPO003,"2025-07-11 08:17:20","LPCE Olongapo Store",Liz,International,"Admin Tester"
"Laptop Charger HP 4.74A Circle Pin",HP,"Laptop Charger",82071177-105,LPO003,"2025-07-11 08:17:20","LPCE Olongapo Store",Liz,International,"Admin Tester"
"Laptop Charger Toshiba 4.74A Common Pin",Toshiba,"Laptop Charger",80699512-45,LPO004,"2025-07-11 08:26:28","LPCE Olongapo Store",Liz,International,"Admin Tester"
"Led Screen 14 30 Pins Slim FHD","No Brand","Led Screen",56975232-18,LPO004,"2025-07-11 08:26:28","LPCE Olongapo Store","All Star",International,"Admin Tester"
"Laptop Charger Asus 3.42A Common Pin Original",ASUS,"Laptop Charger",06550979-35,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"CellPhone LCD Tecno Camon 17 Pro",TECNO,"Cellphone Lcd",46982184-5,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Tecno Camon 17 Pro",TECNO,"Cellphone Lcd",46982184-4,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Tecno Camon 17 Pro",TECNO,"Cellphone Lcd",46982184-8,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Tecno Camon 17 Pro",TECNO,"Cellphone Lcd",46982184-9,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Tecno Camon 17 Pro",TECNO,"Cellphone Lcd",46982184-2,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Tecno Camon 17 Pro",TECNO,"Cellphone Lcd",46982184-6,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Vivo Y55",VIVO,"Cellphone Lcd",52771162-15,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD OPPO A3S",oppo,"Cellphone Lcd",31456408-19,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD OPPO A3S",oppo,"Cellphone Lcd",31456408-24,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD OPPO A3S",oppo,"Cellphone Lcd",31456408-20,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD OPPO A3S",oppo,"Cellphone Lcd",31456408-17,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger Samsung 3.16A Common Pin",Samsung,"Laptop Charger",28974881-198,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Dell 4.62A Circle Medium",Dell,"Laptop Charger",62426043-29,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Cellphone LCD Huawei P10 Plus",huawei,"Cellphone Lcd",18106785-8,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Huawei P10 Plus",huawei,"Cellphone Lcd",18106785-3,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Huawei P10 Plus",huawei,"Cellphone Lcd",18106785-5,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger HP 19.5V 2.05A Bullet Small",HP,"Laptop Charger",13916521-10,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Mars,Local,"Admin Tester"
"Cellphone LCD Huawei P10 Plus",huawei,"Cellphone Lcd",18106785-1,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Huawei P10 Plus",huawei,"Cellphone Lcd",18106785-4,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Xiaomi Mi 8 Lite",xiaomi,"Cellphone Lcd",43840841-8,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Xiaomi Mi 8 Lite",xiaomi,"Cellphone Lcd",43840841-7,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Xiaomi Mi 8 Lite",xiaomi,"Cellphone Lcd",43840841-10,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger HP 1.58A Small Long",HP,"Laptop Charger",41849379-15,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Cellphone LCD Vivo V11i",VIVO,"Cellphone Lcd",76162742-9,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Samsung A7 2018",Samsung,"Cellphone Lcd",75494238-6,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Infinix Hot 9 Pro 2020",INFINIX,"Cellphone Lcd",90311073-2,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Samsung C7 2016",Samsung,"Cellphone Lcd",82243118-9,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Samsung C7 2016",Samsung,"Cellphone Lcd",82243118-4,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Samsung C7 2016",Samsung,"Cellphone Lcd",82243118-5,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Samsung C7 2016",Samsung,"Cellphone Lcd",82243118-3,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Samsung A7 2018",Samsung,"Cellphone Lcd",75494238-3,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Samsung A7 2018",Samsung,"Cellphone Lcd",75494238-4,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"CellPhone LCD Samsung A7 2018",Samsung,"Cellphone Lcd",75494238-10,LPO001,"2025-07-11 08:08:40","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger Dell 19.5V 3.34A Circle Pin",Dell,"Laptop Charger",DE334CP-47,LPO002,"2025-07-11 08:14:45","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Dell 19.5V 4.62A Circle Pin",Dell,"Laptop Charger",35603241-1,LPO002,"2025-07-11 08:14:45","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger HP Printer 22V",HP,"Laptop Charger",17414596-66,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Asus 19V 2.1A Micro Pin",ASUS,"Laptop Charger",19548952-11,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger HP Printer 22V",HP,"Laptop Charger",17414596-57,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger LPO HP 3.33A Blue Pin",HP,"Laptop Charger",27577507-88,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger LPO HP 3.33A Blue Pin",HP,"Laptop Charger",27577507-90,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Acer 3.42A Purple Pin Original",Acer,"Laptop Charger",35254467-30,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Asus 19V 2.1A Micro Pin",ASUS,"Laptop Charger",19548952-14,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger Asus 19V 2.1A Micro Pin",ASUS,"Laptop Charger",19548952-13,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger Asus 19V 2.1A Micro Pin",ASUS,"Laptop Charger",19548952-15,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger Asus 2.37A Zebook Original",ASUS,"Laptop Charger",22313754-16,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Asus 19V 2.1A Micro Pin",ASUS,"Laptop Charger",16297386-22,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Asus 19V 2.1A Micro Pin",ASUS,"Laptop Charger",16297386-27,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Acer 1.58A Common Pin",Acer,"Laptop Charger",10976392-15,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger LPO HP 3.33A Blue Pin",HP,"Laptop Charger",27577507-84,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Asus 19V 2.1A Micro Pin",ASUS,"Laptop Charger",16297386-36,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Dell 19V 1.58A Yellow Pin",Dell,"Laptop Charger",17114446-26,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Asus 19V 2.1A Micro Pin",ASUS,"Laptop Charger",16297386-30,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Dell 19V 1.58A Yellow Pin",Dell,"Laptop Charger",36354648-8,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger HP 19.5V 2.05A Bullet Small",HP,"Laptop Charger",36640127-49,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger HP Printer 32V",HP,"Laptop Charger",55246203-45,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger HP Printer 32V",HP,"Laptop Charger",55246203-18,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Dell 19V 1.58A Yellow Pin",Dell,"Laptop Charger",51844432-24,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Dell 19V 1.58A Yellow Pin",Dell,"Laptop Charger",43757361-2,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Dell 19V 1.58A Yellow Pin",Dell,"Laptop Charger",51844432-4,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Dell 19V 1.58A Yellow Pin",Dell,"Laptop Charger",51844432-23,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger HP Printer 32V",HP,"Laptop Charger",55246203-51,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger LPO HP 3.33A Blue Pin",HP,"Laptop Charger",27577507-51,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger LPO HP 3.33A Blue Pin",HP,"Laptop Charger",27577507-57,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Asus 19V 2.37A Zenbook Pin",ASUS,"Laptop Charger",70193874-21,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger LPO HP 3.33A Blue Pin",HP,"Laptop Charger",27577507-53,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger LPO HP 3.33A Blue Pin",HP,"Laptop Charger",27577507-56,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger LPO HP 3.33A Blue Pin",HP,"Laptop Charger",27577507-59,LPO003,"2025-07-11 08:17:20","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Samsung 2.1A Common Pin",Samsung,"Laptop Charger",44304291-65,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Samsung 2.1A Common Pin",Samsung,"Laptop Charger",44304291-71,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-18,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-19,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-40,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-28,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-22,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-2,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Samsung A8 2015(EB-BA800ABE)",Samsung,"Cellphone Battery",35881101-10,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-12,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-6,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-41,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-47,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-13,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Vivo V7(B-D5)",VIVO,"Cellphone Battery",74051740-79,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Samsung A8 2015(EB-BA800ABE)",Samsung,"Cellphone Battery",35881101-15,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Samsung A8 2015(EB-BA800ABE)",Samsung,"Cellphone Battery",35881101-2,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Samsung A8 2015(EB-BA800ABE)",Samsung,"Cellphone Battery",35881101-12,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Infinix Hot S3 (BL-39GX)",INFINIX,"Cellphone Battery",38013439-7,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger Sony 12V 2A Circle Pin",SONY,"Laptop Charger",46145021-24,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Cellphone Battery iPhone 7 Plus",Apple,"Cellphone Battery",27026024-8,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery iPhone 7 Plus",Apple,"Cellphone Battery",27026024-3,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery iPhone 7 Plus",Apple,"Cellphone Battery",27026024-9,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Led Screen 11.6 40 Pins Slim Up and Down HD (Lower Bracket)","No Brand","Led Screen",78990929-3,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER","All Star",International,"Admin Tester"
"Cellphone Battery Oppo A30(BLP607)",oppo,"Cellphone Battery",33253121-14,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger Samsung 14V 3A Circle Pin",Samsung,"Laptop Charger",01509518-35,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Cellphone LCD Oppo F11","No Brand","Cellphone Lcd",37542839-10,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone LCD Oppo F11","No Brand","Cellphone Lcd",37542839-9,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Samsung A8 2015(EB-BA800ABE)",Samsung,"Cellphone Battery",35881101-7,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Samsung A8 2015(EB-BA800ABE)",Samsung,"Cellphone Battery",35881101-8,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-7,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-46,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-28,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-48,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-42,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-35,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-49,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-4,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-43,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Laptop Charger Sony 12V 2A Circle Pin",SONY,"Laptop Charger",46145021-19,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Laptop Charger Microsoft Surface Pro 15V 4A",Microsoft,"Laptop Charger",03088198-99,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Liz,International,"Admin Tester"
"Cellphone Battery Oppo A83 (BLP649)",oppo,"Cellphone Battery",18053367-12,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Oppo A83 (BLP649)",oppo,"Cellphone Battery",18053367-15,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Oppo A83 (BLP649)",oppo,"Cellphone Battery",18053367-11,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Oppo A83 (BLP649)",oppo,"Cellphone Battery",18053367-8,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Oppo A83 (BLP649)",oppo,"Cellphone Battery",18053367-7,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Oppo A83 (BLP649)",oppo,"Cellphone Battery",18053367-3,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Oppo A83 (BLP649)",oppo,"Cellphone Battery",18053367-6,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Oppo A83 (BLP649)",oppo,"Cellphone Battery",18053367-13,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Asus Zenfone 4 Selfie Lite(C11P1511)",ASUS,"Cellphone Battery",85025663-5,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-1,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-38,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-36,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-37,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery OPPO A37 (BLP615)",oppo,"Cellphone Battery",35468488-32,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Led Screen 14 30 Pins Slim HD Plus","No Brand","Led Screen",12961970-4,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER","All Star",International,"Admin Tester"
"Cellphone Battery Huawei Honor 10 Lite (HB396285ECW)",huawei,"Cellphone Battery",46395813-7,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Led Screen 11.6 40 Pins Slim Up and Down HD (Lower Bracket)","No Brand","Led Screen",78990929-2,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER","All Star",International,"Admin Tester"
"Led Screen 11.6 40 Pins Slim Up and Down HD","No Brand","Led Screen",38463955-1,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Berty,International,"Admin Tester"
"Led Screen 13.3 30 Pins Slim Side Bracket HD (6 Holes)","No Brand","Led Screen",00941653-18,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Berty,International,"Admin Tester"
"Led Screen 13.3 30 Pins Slim Side Bracket HD (6 Holes)","No Brand","Led Screen",00941653-2,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Berty,International,"Admin Tester"
"Led Screen 13.3 30 Pins Slim Side Bracket HD (6 Holes)","No Brand","Led Screen",00941653-3,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Berty,International,"Admin Tester"
"Laptop Keyboard Acer V5-471",Acer,"Laptop Keyboard",12120552-2,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Jst,Local,"Admin Tester"
"Cellphone Battery Huawei CUN U29 / Y52 (HB4342A1RBC)",huawei,"Cellphone Battery",92946875-40,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei CUN U29 / Y52 (HB4342A1RBC)",huawei,"Cellphone Battery",92946875-39,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-21,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei P30 Pro (HB486486ECW)",huawei,"Cellphone Battery",94999260-10,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei CUN U29 / Y52 (HB4342A1RBC)",huawei,"Cellphone Battery",92946875-8,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei CUN U29 / Y52 (HB4342A1RBC)",huawei,"Cellphone Battery",92946875-42,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei CUN U29 / Y52 (HB4342A1RBC)",huawei,"Cellphone Battery",92946875-87,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei CUN U29 / Y52 (HB4342A1RBC)",huawei,"Cellphone Battery",92946875-41,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
"Cellphone Battery Huawei CUN U29 / Y52 (HB4342A1RBC)",huawei,"Cellphone Battery",92946875-44,LPO004,"2025-07-11 08:26:28","LPO HQ-BUFFER",Imports,International,"Admin Tester"
