"Unique Barcode",Description,Category,Brand,Supplier,"System Warehouse","Scanned Warehouse","System Location","Scanned Location","Audit Status",Outbounded,"Unit Cost","Scanned Date"
AS342SO-683,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-684,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-685,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-686,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-687,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-688,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-689,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-690,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-691,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-692,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-693,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-694,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-695,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-696,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-697,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-698,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-699,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-700,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-701,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-702,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-703,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-704,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-705,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-706,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-707,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-708,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-709,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-710,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-711,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-712,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-713,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-714,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-715,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-716,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-717,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-718,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-719,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-720,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-721,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-722,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-723,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-724,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-725,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-726,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-727,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-728,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-729,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-730,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
AS342SO-731,"Laptop Charger Asus 19V 3.42A Small Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR4_L4_10,"FOR SKU INJECTED",scanned,no,328.64,"2026-07-19 10:53:00"
35603241-101,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-102,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-103,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-104,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-105,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-106,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-107,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-108,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-109,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-110,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-111,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-112,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-113,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-114,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-115,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-116,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-117,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-118,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-119,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-120,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-121,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-122,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-123,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-124,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-125,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-126,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-127,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-128,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-129,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-130,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-131,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-132,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-133,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-134,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-135,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-136,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-137,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-138,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-139,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-140,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-141,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-142,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-143,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-144,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-145,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-146,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-147,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-148,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-149,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
35603241-150,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR5-L2-11,"FOR SKU INJECTED",scanned,no,195.19,"2026-07-19 10:50:59"
34432419-102,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-103,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-104,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-105,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-106,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-107,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-108,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-109,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-110,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-111,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-112,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
34432419-113,"Laptop Charger Lenovo 3.25A USB","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER","LPO HQ-BUFFER",BR6-L2-8,"FOR SKU INJECTED",scanned,no,159.61,"2026-07-19 10:50:59"
